
-----------------------------Channel Probabilities------------------------------

Channel 0:	Stay Success:  0.850100573702816	Stay Failure:  0.8032720613898353
Channel 349:	Stay Success:  0.8575166665858667	Stay Failure:  0.8181696897075607
Channel 350:	Stay Success:  0.832856871453594	Stay Failure:  0.789870386592785
Channel 351:	Stay Success:  0.8497966575215042	Stay Failure:  0.7783039014381321
Channel 352:	Stay Success:  0.8357891827898946	Stay Failure:  0.7774238026694648
Channel 353:	Stay Success:  0.826017719679788	Stay Failure:  0.7940440902457427
Channel 354:	Stay Success:  0.8331493245739657	Stay Failure:  0.8005461444654192
Channel 355:	Stay Success:  0.859520849742869	Stay Failure:  0.8067735381430465
Channel 356:	Stay Success:  0.8320901025969002	Stay Failure:  0.7904421588915432
Channel 357:	Stay Success:  0.8517795208854496	Stay Failure:  0.8226989533754685
Channel 358:	Stay Success:  0.840958082688083	Stay Failure:  0.8067706004561239
Channel 359:	Stay Success:  0.8573239281391748	Stay Failure:  0.7816483769412198
Channel 360:	Stay Success:  0.8496080042348704	Stay Failure:  0.7842392937169534
Channel 361:	Stay Success:  0.8263402999419921	Stay Failure:  0.794897715672205
Channel 362:	Stay Success:  0.8516272170425953	Stay Failure:  0.7821569364819182
Channel 363:	Stay Success:  0.8557566092493829	Stay Failure:  0.7935680290959949
Channel 364:	Stay Success:  0.8475367444404779	Stay Failure:  0.8069443237749425
Channel 365:	Stay Success:  0.8563859987237649	Stay Failure:  0.7850563196134219
Channel 366:	Stay Success:  0.8359240170897767	Stay Failure:  0.7737682894804585
Channel 367:	Stay Success:  0.8554433477513299	Stay Failure:  0.8258227856610575
Channel 368:	Stay Success:  0.8743423546061128	Stay Failure:  0.8134157724890022
Channel 369:	Stay Success:  0.8546301019884892	Stay Failure:  0.8128390016634452
Channel 370:	Stay Success:  0.8310975927892609	Stay Failure:  0.7793911815136247
Channel 371:	Stay Success:  0.8754175160042875	Stay Failure:  0.8180681381291351
Channel 372:	Stay Success:  0.8722238445377984	Stay Failure:  0.7888237052479637
Channel 373:	Stay Success:  0.8584466364358991	Stay Failure:  0.8243650543999406
Channel 374:	Stay Success:  0.8636440854171182	Stay Failure:  0.7844306426585426
Channel 375:	Stay Success:  0.8563592151751654	Stay Failure:  0.8248192837192175
Channel 376:	Stay Success:  0.874698093805358	Stay Failure:  0.7976969335829981
Channel 377:	Stay Success:  0.8349916257276764	Stay Failure:  0.7760605232487713
Channel 378:	Stay Success:  0.856146979408622	Stay Failure:  0.8211058789165068
Channel 379:	Stay Success:  0.8604435406658109	Stay Failure:  0.8253422736962059
Channel 380:	Stay Success:  0.8250177185783548	Stay Failure:  0.8226775353073474
Channel 381:	Stay Success:  0.830617668575767	Stay Failure:  0.8172534697031917
Channel 382:	Stay Success:  0.8356877063736611	Stay Failure:  0.8183939897430172
Channel 383:	Stay Success:  0.8423481255037086	Stay Failure:  0.7788086769378538
Channel 384:	Stay Success:  0.8752686139932846	Stay Failure:  0.8091527889737479
Channel 385:	Stay Success:  0.8694307552366203	Stay Failure:  0.7974393147266895
Channel 386:	Stay Success:  0.8730463457776557	Stay Failure:  0.7859029634856226
Channel 387:	Stay Success:  0.8273974567723773	Stay Failure:  0.7831500091783649
Channel 388:	Stay Success:  0.8288884693410898	Stay Failure:  0.8030845022473504
Channel 389:	Stay Success:  0.8400545959848346	Stay Failure:  0.8179250376287674
Channel 390:	Stay Success:  0.8558043415455869	Stay Failure:  0.7889948186709739
Channel 391:	Stay Success:  0.8642697786611676	Stay Failure:  0.7937830622223229
Channel 392:	Stay Success:  0.853200807879405	Stay Failure:  0.8206126800563553
Channel 393:	Stay Success:  0.8552628490655607	Stay Failure:  0.7945649063050136
Channel 394:	Stay Success:  0.8373123655536546	Stay Failure:  0.7982664424358373
Channel 395:	Stay Success:  0.8363480341587127	Stay Failure:  0.7970502986603877
Channel 396:	Stay Success:  0.8473411754657717	Stay Failure:  0.810862196412691
Channel 397:	Stay Success:  0.8426657289376316	Stay Failure:  0.7936783823997299
Channel 398:	Stay Success:  0.8525017522945927	Stay Failure:  0.812847851569496
Channel 399:	Stay Success:  0.8641270474876618	Stay Failure:  0.7838780672745373
Channel 400:	Stay Success:  0.8754150378694311	Stay Failure:  0.7987746041149325
Channel 401:	Stay Success:  0.8480427866289058	Stay Failure:  0.7996296658123988
Channel 402:	Stay Success:  0.844052497187013	Stay Failure:  0.7960632696701611
Channel 403:	Stay Success:  0.8612381986896039	Stay Failure:  0.8066605476026143
Channel 404:	Stay Success:  0.8668233799456834	Stay Failure:  0.8052102311628354
Channel 405:	Stay Success:  0.8461493783168542	Stay Failure:  0.7817332742459601
Channel 406:	Stay Success:  0.8483155041793392	Stay Failure:  0.7858117989458586
Channel 407:	Stay Success:  0.8353825269230633	Stay Failure:  0.7804845259236648
Channel 408:	Stay Success:  0.8535605319229016	Stay Failure:  0.7878365082427461
Channel 409:	Stay Success:  0.866665623028642	Stay Failure:  0.8038617088081774
Channel 410:	Stay Success:  0.8733640500321014	Stay Failure:  0.7984348673815423
Channel 411:	Stay Success:  0.8313840032439468	Stay Failure:  0.7867270672845553
Channel 412:	Stay Success:  0.8524483739568951	Stay Failure:  0.7820497062841788
Channel 413:	Stay Success:  0.8487273175429236	Stay Failure:  0.8029470796195579
Channel 414:	Stay Success:  0.8754323562817323	Stay Failure:  0.8030261096320781
Channel 415:	Stay Success:  0.8439252469650912	Stay Failure:  0.8184730183047657
Channel 416:	Stay Success:  0.8399741114434028	Stay Failure:  0.8232829537871326
Channel 417:	Stay Success:  0.8745230573134954	Stay Failure:  0.824428132272862
Channel 418:	Stay Success:  0.8532775067618056	Stay Failure:  0.824101838145235
Channel 419:	Stay Success:  0.8259027148189986	Stay Failure:  0.789892818138985
Channel 420:	Stay Success:  0.8471489870681749	Stay Failure:  0.822438285193922
Channel 421:	Stay Success:  0.8626525714503684	Stay Failure:  0.7866715119333363
Channel 422:	Stay Success:  0.8554561046114926	Stay Failure:  0.8025882274683922
Channel 423:	Stay Success:  0.857569776492891	Stay Failure:  0.7985217087843985
Channel 424:	Stay Success:  0.8507223235503597	Stay Failure:  0.7835109357790973
Channel 425:	Stay Success:  0.8312137329296185	Stay Failure:  0.8098144487284886
Channel 426:	Stay Success:  0.8645168201113044	Stay Failure:  0.7887993879896955
Channel 427:	Stay Success:  0.8283219906347064	Stay Failure:  0.8011116033278807
Channel 428:	Stay Success:  0.827340534399902	Stay Failure:  0.805563617424214
Channel 429:	Stay Success:  0.8315131192892009	Stay Failure:  0.7937084923582638
Channel 430:	Stay Success:  0.8508520500525781	Stay Failure:  0.8030654790979179
Channel 431:	Stay Success:  0.8451758965828873	Stay Failure:  0.8166464833399194
Channel 432:	Stay Success:  0.8710193117228879	Stay Failure:  0.8189133245430463
Channel 433:	Stay Success:  0.8731897278645494	Stay Failure:  0.80557769183016
Channel 434:	Stay Success:  0.8452941028586983	Stay Failure:  0.8015417684129674
Channel 435:	Stay Success:  0.8443881645756136	Stay Failure:  0.8166857285141792
Channel 436:	Stay Success:  0.8693165318973404	Stay Failure:  0.8072457076836111
Channel 437:	Stay Success:  0.8439954060504044	Stay Failure:  0.7864658810118166
Channel 438:	Stay Success:  0.8724883257491396	Stay Failure:  0.7973436116462528
Channel 439:	Stay Success:  0.825710315752721	Stay Failure:  0.7800547100604768
Channel 440:	Stay Success:  0.8261715043015211	Stay Failure:  0.7839785996413748
Channel 441:	Stay Success:  0.8531205353306041	Stay Failure:  0.8202474970547003
Channel 442:	Stay Success:  0.8665664823847785	Stay Failure:  0.8207439601910801
Channel 443:	Stay Success:  0.8421868439684997	Stay Failure:  0.7987827368586695
Channel 444:	Stay Success:  0.856027463388641	Stay Failure:  0.824770087672722
Channel 445:	Stay Success:  0.8439895667234517	Stay Failure:  0.8068201265837665
Channel 446:	Stay Success:  0.850150295708867	Stay Failure:  0.7914093948441203
Channel 447:	Stay Success:  0.8728386850769797	Stay Failure:  0.8252863594093943
Channel 448:	Stay Success:  0.8667133604923867	Stay Failure:  0.7837897951229689
Channel 449:	Stay Success:  0.8341044729404061	Stay Failure:  0.8136690990809348
Channel 450:	Stay Success:  0.8238889974151924	Stay Failure:  0.8009947995576452
Channel 451:	Stay Success:  0.8755653197540039	Stay Failure:  0.7971148271693416
Channel 452:	Stay Success:  0.8630851729766439	Stay Failure:  0.822813150958998
Channel 453:	Stay Success:  0.8284478922863119	Stay Failure:  0.8256954943366226
Channel 454:	Stay Success:  0.8293743149639748	Stay Failure:  0.7800586049463178
Channel 455:	Stay Success:  0.8624413654986872	Stay Failure:  0.8231300474464718
Channel 456:	Stay Success:  0.8281569612799979	Stay Failure:  0.7767052867810412
Channel 457:	Stay Success:  0.8242523832244983	Stay Failure:  0.7759129605507775
Channel 458:	Stay Success:  0.8533161326440705	Stay Failure:  0.8058522827302794
Channel 459:	Stay Success:  0.8364140296616177	Stay Failure:  0.7898078732569045
Channel 460:	Stay Success:  0.8418413842633633	Stay Failure:  0.7812482376205974
Channel 461:	Stay Success:  0.8383196931398933	Stay Failure:  0.8098396614438202
Channel 462:	Stay Success:  0.8640227235522363	Stay Failure:  0.7933037289738081
Channel 463:	Stay Success:  0.8526693483027868	Stay Failure:  0.8155951065257545
Channel 464:	Stay Success:  0.8561544844216824	Stay Failure:  0.802749065513638
Channel 465:	Stay Success:  0.8518009724913019	Stay Failure:  0.8038182667107837
Channel 466:	Stay Success:  0.839337572782459	Stay Failure:  0.8129952348697442
Channel 467:	Stay Success:  0.831936814393773	Stay Failure:  0.8201346735652725
Channel 468:	Stay Success:  0.8748517830104181	Stay Failure:  0.8182605550100382
Channel 469:	Stay Success:  0.8524441150890989	Stay Failure:  0.7745783151593969
Channel 470:	Stay Success:  0.8697540170665035	Stay Failure:  0.8027652481157856
Channel 471:	Stay Success:  0.8627693381609113	Stay Failure:  0.7962648253000654
Channel 472:	Stay Success:  0.8284588316802568	Stay Failure:  0.801190989538634
Channel 473:	Stay Success:  0.840183684367396	Stay Failure:  0.7737466457240345
Channel 474:	Stay Success:  0.8491725908114891	Stay Failure:  0.7819816302304999
Channel 475:	Stay Success:  0.8475055358102822	Stay Failure:  0.7856991427511679
Channel 476:	Stay Success:  0.8278502135522232	Stay Failure:  0.8045297091779772
Channel 477:	Stay Success:  0.8684050933986882	Stay Failure:  0.8161618035331596
Channel 478:	Stay Success:  0.8358809236062117	Stay Failure:  0.8162182825668377
Channel 479:	Stay Success:  0.8352607144068609	Stay Failure:  0.7820978976225615
Channel 480:	Stay Success:  0.8628304745191464	Stay Failure:  0.816439376956818
Channel 481:	Stay Success:  0.8717278218120391	Stay Failure:  0.8155531659031264
Channel 482:	Stay Success:  0.8419496193358939	Stay Failure:  0.819336406357325
Channel 483:	Stay Success:  0.8615769150236	Stay Failure:  0.8221258872024807
Channel 484:	Stay Success:  0.8406159863044689	Stay Failure:  0.7885293478255486
Channel 485:	Stay Success:  0.8416859765580631	Stay Failure:  0.8075195599912195
Channel 486:	Stay Success:  0.8312507454891277	Stay Failure:  0.8107887028389063
Channel 487:	Stay Success:  0.8565414577979318	Stay Failure:  0.8090146975030292
Channel 488:	Stay Success:  0.8736075433104702	Stay Failure:  0.7956598915697654
Channel 489:	Stay Success:  0.8642635271457965	Stay Failure:  0.8034173856632045
Channel 490:	Stay Success:  0.866949172857371	Stay Failure:  0.8162466694760726
Channel 491:	Stay Success:  0.8415058917240786	Stay Failure:  0.8193118675539036
Channel 492:	Stay Success:  0.8548206162579729	Stay Failure:  0.8262702006362183
Channel 493:	Stay Success:  0.8483370259631492	Stay Failure:  0.7768403246138925
Channel 494:	Stay Success:  0.8250489658354038	Stay Failure:  0.7860184738395904
Channel 495:	Stay Success:  0.8298527219737359	Stay Failure:  0.7999965800599581
Channel 496:	Stay Success:  0.8276731676593573	Stay Failure:  0.7748985575076021
Channel 497:	Stay Success:  0.8739412317310452	Stay Failure:  0.8063546372441444
Channel 498:	Stay Success:  0.8643493528567567	Stay Failure:  0.7817345457096158
Channel 499:	Stay Success:  0.8356686788104809	Stay Failure:  0.8041691277748777
Channel 500:	Stay Success:  0.8523819560861858	Stay Failure:  0.7887530737368379
Channel 501:	Stay Success:  0.85873923388157	Stay Failure:  0.8159546951682127
Channel 502:	Stay Success:  0.8379561819713569	Stay Failure:  0.7974273693071632
Channel 503:	Stay Success:  0.8392620351949862	Stay Failure:  0.8012947312273511
Channel 504:	Stay Success:  0.8322157492020769	Stay Failure:  0.7964305083647266
Channel 505:	Stay Success:  0.8558481297754772	Stay Failure:  0.7869239246221329
Channel 506:	Stay Success:  0.8257378734824901	Stay Failure:  0.774191053416725
Channel 507:	Stay Success:  0.8464576696984293	Stay Failure:  0.8010976112215137
Channel 508:	Stay Success:  0.8598795610160586	Stay Failure:  0.8043214223936408
Channel 509:	Stay Success:  0.8259716036343999	Stay Failure:  0.784130020950227
Channel 510:	Stay Success:  0.832104919475338	Stay Failure:  0.7957239227413758
Channel 511:	Stay Success:  0.8409211940632604	Stay Failure:  0.8114284941291762
Channel 512:	Stay Success:  0.8442830740405206	Stay Failure:  0.8173069716606414
Channel 513:	Stay Success:  0.8328457565129006	Stay Failure:  0.7778372562737806
Channel 514:	Stay Success:  0.8563815460706417	Stay Failure:  0.8153287636242837
Channel 515:	Stay Success:  0.848736667906485	Stay Failure:  0.7928985135793677
Channel 516:	Stay Success:  0.8311566298022836	Stay Failure:  0.7930428517061301
Channel 517:	Stay Success:  0.8318579580612441	Stay Failure:  0.825931147294181
Channel 518:	Stay Success:  0.8615007006746914	Stay Failure:  0.7742414996621878
Channel 519:	Stay Success:  0.8740831736182183	Stay Failure:  0.797835701811466
Channel 520:	Stay Success:  0.8270752480040929	Stay Failure:  0.8235614123922228
Channel 521:	Stay Success:  0.8366139004393246	Stay Failure:  0.8241422497076308
Channel 522:	Stay Success:  0.8699472334305073	Stay Failure:  0.7952012670321453
Channel 523:	Stay Success:  0.831309831167553	Stay Failure:  0.7886400435077549
Channel 524:	Stay Success:  0.8318625468475546	Stay Failure:  0.7758871099441534
Channel 525:	Stay Success:  0.8743594871225684	Stay Failure:  0.8091980369030695
Channel 526:	Stay Success:  0.8669903048311602	Stay Failure:  0.7961795507141757
Channel 527:	Stay Success:  0.8290531640640612	Stay Failure:  0.7901833648456987
Channel 528:	Stay Success:  0.8678537228045281	Stay Failure:  0.7958525619730766
Channel 529:	Stay Success:  0.8412757433925456	Stay Failure:  0.8087500424976244
Channel 530:	Stay Success:  0.8759541649733159	Stay Failure:  0.8118712250528599
Channel 531:	Stay Success:  0.8723172344229625	Stay Failure:  0.7888102465608969
Channel 532:	Stay Success:  0.8317730099451772	Stay Failure:  0.822572222245207
Channel 533:	Stay Success:  0.8360807294646583	Stay Failure:  0.8146763039412863
Channel 534:	Stay Success:  0.8608930564633496	Stay Failure:  0.7896519006537271
Channel 535:	Stay Success:  0.8504113178706201	Stay Failure:  0.7973408815399845
Channel 536:	Stay Success:  0.8586897572485878	Stay Failure:  0.7824047254814432
Channel 537:	Stay Success:  0.8452047612115575	Stay Failure:  0.7896086173690542
Channel 538:	Stay Success:  0.8420034116499309	Stay Failure:  0.7851654672432317
Channel 539:	Stay Success:  0.8316680543368447	Stay Failure:  0.7978274627524943
Channel 540:	Stay Success:  0.8655157613657899	Stay Failure:  0.8078116397663353
Channel 541:	Stay Success:  0.8268011250671643	Stay Failure:  0.8179245192706778
Channel 542:	Stay Success:  0.8307124971738948	Stay Failure:  0.8104229696633785
Channel 543:	Stay Success:  0.8483337836407138	Stay Failure:  0.8240574368580287
Channel 544:	Stay Success:  0.8717573047850459	Stay Failure:  0.7745545828110427
Channel 545:	Stay Success:  0.8255915485090692	Stay Failure:  0.8180950341964006
Channel 546:	Stay Success:  0.8506436395421981	Stay Failure:  0.8093853398751033
Channel 547:	Stay Success:  0.8757010794087615	Stay Failure:  0.816296033906301
Channel 548:	Stay Success:  0.8409975606212019	Stay Failure:  0.7927137716610018
Channel 549:	Stay Success:  0.8660973621829305	Stay Failure:  0.8027542797877667
Channel 550:	Stay Success:  0.8519661927944744	Stay Failure:  0.7882334325934538
Channel 551:	Stay Success:  0.8482033873595187	Stay Failure:  0.8262684786110123
Channel 552:	Stay Success:  0.852015641630484	Stay Failure:  0.7848289701878556
Channel 553:	Stay Success:  0.8331012229686523	Stay Failure:  0.7889393226304647
Channel 554:	Stay Success:  0.824998609833869	Stay Failure:  0.8224911428676412
Channel 555:	Stay Success:  0.8694619469928695	Stay Failure:  0.822121107884782
Channel 556:	Stay Success:  0.8287565154640726	Stay Failure:  0.7923854545006609
Channel 557:	Stay Success:  0.8605790431361974	Stay Failure:  0.7762225932207315
Channel 558:	Stay Success:  0.8398579481970769	Stay Failure:  0.8061281188234288
Channel 559:	Stay Success:  0.8278624262424796	Stay Failure:  0.8027836392546361
Channel 560:	Stay Success:  0.8608612698844244	Stay Failure:  0.7860535890953185
Channel 561:	Stay Success:  0.8666066785323783	Stay Failure:  0.8235929903976361
Channel 562:	Stay Success:  0.8378861054578194	Stay Failure:  0.8086454973103432
Channel 563:	Stay Success:  0.8642285387724984	Stay Failure:  0.7959893664562258
Channel 564:	Stay Success:  0.8419093181580014	Stay Failure:  0.8051810032597926
Channel 565:	Stay Success:  0.8543960486390252	Stay Failure:  0.8066940696507395
Channel 566:	Stay Success:  0.8516554530045983	Stay Failure:  0.7923914952824844
Channel 567:	Stay Success:  0.8741463179237335	Stay Failure:  0.7762785312065181
Channel 568:	Stay Success:  0.8512194755193123	Stay Failure:  0.8041325573056892
Channel 569:	Stay Success:  0.8605782496792543	Stay Failure:  0.7756817752622921
Channel 570:	Stay Success:  0.8691410649034923	Stay Failure:  0.8214499193165695
Channel 571:	Stay Success:  0.8369082217183116	Stay Failure:  0.7919526743888178
Channel 572:	Stay Success:  0.8669359005864045	Stay Failure:  0.8248582654596237
Channel 573:	Stay Success:  0.8552257726753357	Stay Failure:  0.8132292976272644
Channel 574:	Stay Success:  0.850546600672031	Stay Failure:  0.795156358341534
Channel 575:	Stay Success:  0.8294062236996115	Stay Failure:  0.8025104314939384
Channel 576:	Stay Success:  0.8274911807635598	Stay Failure:  0.8227906534759487
Channel 577:	Stay Success:  0.8416730116052569	Stay Failure:  0.7812536906065789
Channel 578:	Stay Success:  0.8659428170919905	Stay Failure:  0.7809568868911908
Channel 579:	Stay Success:  0.8658262267107593	Stay Failure:  0.7802877958419794
Channel 580:	Stay Success:  0.8560435741384201	Stay Failure:  0.7842366706359377
Channel 581:	Stay Success:  0.8594754025437331	Stay Failure:  0.7936438082591737
Channel 582:	Stay Success:  0.8563423086020305	Stay Failure:  0.8071709623714172
Channel 583:	Stay Success:  0.8750332565302553	Stay Failure:  0.802017432957006
Channel 584:	Stay Success:  0.8396570694555108	Stay Failure:  0.8234512905673058
Channel 585:	Stay Success:  0.8567982384227221	Stay Failure:  0.7828925374481174
Channel 586:	Stay Success:  0.8665514915162621	Stay Failure:  0.7933984796150642
Channel 587:	Stay Success:  0.8560184345355316	Stay Failure:  0.8135755445937416
Channel 588:	Stay Success:  0.8360025424006119	Stay Failure:  0.7965510379469656
Channel 589:	Stay Success:  0.8336289782917534	Stay Failure:  0.7775442584806592
Channel 590:	Stay Success:  0.8697966235711302	Stay Failure:  0.7843914381878776
Channel 591:	Stay Success:  0.8633251411950419	Stay Failure:  0.8089528702296055
Channel 592:	Stay Success:  0.8339772189745543	Stay Failure:  0.8125394897742236
Channel 593:	Stay Success:  0.8584052355979134	Stay Failure:  0.7910506899587543
Channel 594:	Stay Success:  0.8265657227102973	Stay Failure:  0.8054114253246808
Channel 595:	Stay Success:  0.8519793337147652	Stay Failure:  0.8059021134076375
Channel 596:	Stay Success:  0.8377036514011572	Stay Failure:  0.8253046834510619
Channel 597:	Stay Success:  0.8416811511699115	Stay Failure:  0.7929888319583022
Channel 598:	Stay Success:  0.8327350141780011	Stay Failure:  0.7762980246180029
Channel 599:	Stay Success:  0.8352849369983205	Stay Failure:  0.7782428748665905
Channel 600:	Stay Success:  0.857043663042945	Stay Failure:  0.8063761006533069
Channel 601:	Stay Success:  0.829998251316109	Stay Failure:  0.7853839127838353
Channel 602:	Stay Success:  0.8670201195285878	Stay Failure:  0.8134125088586536
Channel 603:	Stay Success:  0.8570563030638024	Stay Failure:  0.7750073698812296
Channel 604:	Stay Success:  0.8360169129011662	Stay Failure:  0.8217752915140418
Channel 605:	Stay Success:  0.8718360672428737	Stay Failure:  0.7779204742063363
Channel 606:	Stay Success:  0.83164681639993	Stay Failure:  0.7747720282612922
Channel 607:	Stay Success:  0.8499077757602074	Stay Failure:  0.8038465482093404
Channel 608:	Stay Success:  0.8324764351455574	Stay Failure:  0.8063979175812912
Channel 609:	Stay Success:  0.8413309774284248	Stay Failure:  0.7847974076187351
Channel 610:	Stay Success:  0.8574159250060625	Stay Failure:  0.8082355178239644
Channel 611:	Stay Success:  0.8525936625711568	Stay Failure:  0.7756381973170408
Channel 612:	Stay Success:  0.839575395829363	Stay Failure:  0.8027326782503427
Channel 613:	Stay Success:  0.8272479215319224	Stay Failure:  0.8234410807374581
Channel 614:	Stay Success:  0.8482216186569803	Stay Failure:  0.7944868858328781
Channel 615:	Stay Success:  0.8642808337792475	Stay Failure:  0.8202905974724665
Channel 616:	Stay Success:  0.8517035249703329	Stay Failure:  0.7746492151093853
Channel 617:	Stay Success:  0.8458387203193958	Stay Failure:  0.818774099747125
Channel 618:	Stay Success:  0.8752230050045321	Stay Failure:  0.8216885180488851
Channel 619:	Stay Success:  0.8397962020064618	Stay Failure:  0.7979987777287918
Channel 620:	Stay Success:  0.8299331943066759	Stay Failure:  0.8245363593211051
Channel 621:	Stay Success:  0.8366268737150944	Stay Failure:  0.7797219090175853
Channel 622:	Stay Success:  0.8678560724622996	Stay Failure:  0.7851362738884988
Channel 623:	Stay Success:  0.8571691976839622	Stay Failure:  0.7776090565417033
Channel 624:	Stay Success:  0.870619790405633	Stay Failure:  0.794048978498847
Channel 625:	Stay Success:  0.8402151794361379	Stay Failure:  0.7827734290021543
Channel 626:	Stay Success:  0.8474980003825523	Stay Failure:  0.8210628136124248
Channel 627:	Stay Success:  0.8449816795063054	Stay Failure:  0.8041187162731676
Channel 628:	Stay Success:  0.8672443287164813	Stay Failure:  0.7993546066561853
Channel 629:	Stay Success:  0.8532284729492909	Stay Failure:  0.800689285654112
Channel 630:	Stay Success:  0.8434437418757863	Stay Failure:  0.8017412666263937
Channel 631:	Stay Success:  0.8252721142118662	Stay Failure:  0.8099835942022369
Channel 632:	Stay Success:  0.8504398514427504	Stay Failure:  0.8221955743262844
Channel 633:	Stay Success:  0.8561927579792328	Stay Failure:  0.8182982608523525
Channel 634:	Stay Success:  0.8404030580845664	Stay Failure:  0.8108311426596062
Channel 635:	Stay Success:  0.842517096789628	Stay Failure:  0.7992459685178424
Channel 636:	Stay Success:  0.8645438776588068	Stay Failure:  0.7945294675366239
Channel 637:	Stay Success:  0.8238395714559004	Stay Failure:  0.774628946134293
Channel 638:	Stay Success:  0.8633834581148968	Stay Failure:  0.81333750887954
Channel 639:	Stay Success:  0.8309628436652826	Stay Failure:  0.8096452540152584
Channel 640:	Stay Success:  0.8632268757817425	Stay Failure:  0.8151015026057832
Channel 641:	Stay Success:  0.8417760172518988	Stay Failure:  0.7953618544186863
Channel 642:	Stay Success:  0.8662203686612134	Stay Failure:  0.8093997833039709
Channel 643:	Stay Success:  0.868752324667815	Stay Failure:  0.8063156948840327
Channel 644:	Stay Success:  0.8539356933224412	Stay Failure:  0.8207815766955472
Channel 645:	Stay Success:  0.8239091551623255	Stay Failure:  0.8195015188083767
Channel 646:	Stay Success:  0.839259017563564	Stay Failure:  0.7970294674983049
Channel 647:	Stay Success:  0.8662571906797862	Stay Failure:  0.8132117523447134
Channel 648:	Stay Success:  0.8268934275427523	Stay Failure:  0.7775279254751555
Channel 649:	Stay Success:  0.8414568218983568	Stay Failure:  0.7806170466101146
Channel 650:	Stay Success:  0.8291310255740969	Stay Failure:  0.8244373791043994
Channel 651:	Stay Success:  0.8482861706022906	Stay Failure:  0.7887343064681174
Channel 652:	Stay Success:  0.8710242878338114	Stay Failure:  0.8162751117237024
Channel 653:	Stay Success:  0.8693805542910064	Stay Failure:  0.8074822621067566
Channel 654:	Stay Success:  0.8374396404527593	Stay Failure:  0.8010862856327144
Channel 655:	Stay Success:  0.8383821021904848	Stay Failure:  0.8155988934079144
Channel 656:	Stay Success:  0.867116363705224	Stay Failure:  0.8083099570897044
Channel 657:	Stay Success:  0.8626083920348231	Stay Failure:  0.8256368213733485
Channel 658:	Stay Success:  0.858915160137919	Stay Failure:  0.8036524200352209
Channel 659:	Stay Success:  0.8347268486808627	Stay Failure:  0.7808576093466911
Channel 660:	Stay Success:  0.8369049520002718	Stay Failure:  0.7746995280837412
Channel 661:	Stay Success:  0.8580952663915138	Stay Failure:  0.7936578336439551
Channel 662:	Stay Success:  0.8274993720653049	Stay Failure:  0.8001031493291281
Channel 663:	Stay Success:  0.8565459900591494	Stay Failure:  0.8080434119390576
Channel 664:	Stay Success:  0.8256423861382259	Stay Failure:  0.8074304380783929
Channel 665:	Stay Success:  0.8732637094532154	Stay Failure:  0.8209748123378143
Channel 666:	Stay Success:  0.8540697277764989	Stay Failure:  0.8088432894595268
Channel 667:	Stay Success:  0.8558317730725885	Stay Failure:  0.8035184520201671
Channel 668:	Stay Success:  0.8547035188931849	Stay Failure:  0.7986373680905252
Channel 669:	Stay Success:  0.8432167638828572	Stay Failure:  0.8164457581793675
Channel 670:	Stay Success:  0.8316112079474647	Stay Failure:  0.7958794301037242
Channel 671:	Stay Success:  0.8373576632413693	Stay Failure:  0.7888491733226897
Channel 672:	Stay Success:  0.8490868721442982	Stay Failure:  0.7947467661878662
Channel 673:	Stay Success:  0.8717274973964836	Stay Failure:  0.8139431034521983
Channel 674:	Stay Success:  0.8509500272537572	Stay Failure:  0.815751230512331
Channel 675:	Stay Success:  0.8470318561578686	Stay Failure:  0.8164725320926893
Channel 676:	Stay Success:  0.8487041827976856	Stay Failure:  0.8176980559683354
Channel 677:	Stay Success:  0.8436552658891685	Stay Failure:  0.7946267962235392
Channel 678:	Stay Success:  0.8584826589899168	Stay Failure:  0.8143745531650846
Channel 679:	Stay Success:  0.8434218824205546	Stay Failure:  0.8025411823336291
Channel 680:	Stay Success:  0.8348115404286276	Stay Failure:  0.7836594699471608
Channel 681:	Stay Success:  0.836702672413341	Stay Failure:  0.7828550926745126
Channel 682:	Stay Success:  0.8596909702214444	Stay Failure:  0.7771019880699191
Channel 683:	Stay Success:  0.8520067214851854	Stay Failure:  0.7963272036433214
Channel 684:	Stay Success:  0.8445571480401837	Stay Failure:  0.8028459436249665
Channel 685:	Stay Success:  0.8679094116967527	Stay Failure:  0.7935130095651038
Channel 686:	Stay Success:  0.86511287124972	Stay Failure:  0.7862909433038668
Channel 687:	Stay Success:  0.8376093480231334	Stay Failure:  0.8169018702490186
Channel 688:	Stay Success:  0.8628980879152355	Stay Failure:  0.7811555378862509
Channel 689:	Stay Success:  0.8269560290127547	Stay Failure:  0.7967404263797206
Channel 690:	Stay Success:  0.8279412984727075	Stay Failure:  0.8091402280367747
Channel 691:	Stay Success:  0.8707748537137973	Stay Failure:  0.8227690211176572
Channel 692:	Stay Success:  0.8670123543462905	Stay Failure:  0.7989784293575461
Channel 693:	Stay Success:  0.871201343931552	Stay Failure:  0.785711064227605
Channel 694:	Stay Success:  0.8671373583718915	Stay Failure:  0.8172317445794752
Channel 695:	Stay Success:  0.8477733332832995	Stay Failure:  0.8031799097642902
Channel 696:	Stay Success:  0.8697160646004481	Stay Failure:  0.808948879436477
Channel 697:	Stay Success:  0.8714010661552661	Stay Failure:  0.7963933405058942
Channel 698:	Stay Success:  0.8335578451823634	Stay Failure:  0.7754520241603694
